owner,repo_name,commit_id,committer,date,tree_url,lines_code_added,lines_code_removed,code_size_bytes,code_size_kilobytes,repo_size_kb
pH-7,Simple-Java-Calculator,c72e1476798406b685e37ea08be37c39f811e5f2,Aloysius911,2020-08-09 11:13:04,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/ed6c578be826d192928fe2e664cefa65b8f990b3,16,14,30,1,1
pH-7,Simple-Java-Calculator,58cfe1d9fc46623a04909394f1da41a354a74a6c,web-flow,2020-05-05 01:31:28,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/caf176b4a13018225915acc7c8bbde15447b2b7b,119,0,119,1,1
pH-7,Simple-Java-Calculator,007bf306db52d0720086acfea6962d9a6824720c,web-flow,2020-05-04 04:24:52,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/277a28f6419cc57e48a9f046d73517643a14179c,1,2,3,1,1
pH-7,Simple-Java-Calculator,9575fc0c5adb4e0956d2afe300ae251bb4952e10,web-flow,2020-05-02 17:17:51,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/3e539bdf629f5aa7fb0272036e9c88e24b860c0d,1,1,2,1,1
pH-7,Simple-Java-Calculator,e49cd88892430172afc1dbfe17387252b57e3277,web-flow,2020-05-02 17:16:23,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/c19dec103dcefcc345f1a713667d0893746f9fea,1,1,2,1,1
pH-7,Simple-Java-Calculator,70e10ca2d28ddcbb9e2c24858454cfea9e621621,erickjrogers,2020-04-27 19:57:23,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/9fa666859b098fccd86bf03a5f2d95b8e484bc8b,119,0,119,1,1
pH-7,Simple-Java-Calculator,40d8696daea04f456575ec2062da2badf6123df0,Mskat,2020-04-25 21:15:33,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/c19dec103dcefcc345f1a713667d0893746f9fea,1,1,2,1,1
pH-7,Simple-Java-Calculator,7439f95007ae12c6ddb6cec8b2b4de781ff6eb0b,web-flow,2020-03-03 09:21:00,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/ded8d6c8a53920741bac8a6382f690544d87e22b,2,0,2,1,1
pH-7,Simple-Java-Calculator,a8155fa92acf93f6b065cb4f06b164e68c7bc8e8,web-flow,2020-02-19 23:33:49,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/ded8d6c8a53920741bac8a6382f690544d87e22b,2,0,2,1,1
pH-7,Simple-Java-Calculator,dba2aee2903610fdca070a15f246b64b6c1588e6,web-flow,2020-02-19 23:17:16,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/d7521e6923d3db92d0ea61e60602ac3a41b3c0a4,1,2,3,1,1
pH-7,Simple-Java-Calculator,ee840faa2fc2f9aece669eede09daabc2e2c3c2e,pH-7,2020-02-19 17:24:35,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/eed316201b17f29031729bbaeb3697dde41cfbb0,1,1,2,1,1
pH-7,Simple-Java-Calculator,9d2f30333c2f1faa1c415dcb7f50dc8e60511bbd,pH-7,2020-02-19 17:21:16,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/7c68454f2cccecb52eb4b78d32438a5317450734,1,1,2,1,1
pH-7,Simple-Java-Calculator,9d4694a4293af5dc0bcf0470499449f3757c195c,pH-7,2020-02-19 17:20:43,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/dd32008f7905fa81cf67d1921e6f3a2e332dcc54,1,1,2,1,1
pH-7,Simple-Java-Calculator,929fdce47bd9158e57b70a0ffcb6488e0b53049e,pH-7,2020-02-19 16:32:27,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/7c68454f2cccecb52eb4b78d32438a5317450734,1,0,1,1,1
pH-7,Simple-Java-Calculator,345b9f647c8e8c2053fecfbefec6d0743dcc463f,web-flow,2020-02-17 12:25:46,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/c7334401aa5b8bc0e5fa83ff308068a41f2def6e,42,10,52,1,1
pH-7,Simple-Java-Calculator,91c4782695321bc96cdf16826cd4b94e6292589d,web-flow,2020-02-16 22:50:35,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/c7334401aa5b8bc0e5fa83ff308068a41f2def6e,1,3,4,1,1
pH-7,Simple-Java-Calculator,d10d5a0f94f779a2dafb50e8c4e72b30bb361d91,web-flow,2020-02-16 22:39:17,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/fcc8c4b91e01d7abf23993ff5dad92c7371b1aa0,25,0,25,1,1
pH-7,Simple-Java-Calculator,ed8de4e7c40b38f804834c9b91153206b4551f68,web-flow,2020-02-16 22:38:30,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/ea7ff592949a189114ac302c56935864f26e2277,8,4,12,1,1
pH-7,Simple-Java-Calculator,24530f4376ce1f8b325cc501805ab3b28e586fb4,web-flow,2020-02-16 22:35:49,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/f5c951fb64eef3b47b696d6c4ec401849d519d24,11,6,17,1,1
pH-7,Simple-Java-Calculator,48c2755370746c5564718e6b1ff364c6ae1544bf,web-flow,2020-02-16 13:11:11,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/b542dce1753ca9d817ba0e2ae0d44080bba82337,1,1,2,1,1
pH-7,Simple-Java-Calculator,4d1eef83b4a107268e372b6fa3daf16c1c4c77cc,web-flow,2020-02-16 12:15:00,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/3cf5fd753e0e57bbb0a56a00f22d3bf5b1462dcc,1,1,2,1,1
pH-7,Simple-Java-Calculator,20daa6908acd8e1310ea8f6c2e7b6004abe1871b,web-flow,2020-02-16 11:56:06,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/b8aefdf9a9f28dd93f34214f5c8a14c18621b909,1,1,2,1,1
pH-7,Simple-Java-Calculator,7d453f1d23aabbc8ecb4961f4387d160121ab2ab,web-flow,2020-02-14 14:41:56,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/456e48dc7896155f9bd44e3c537929145c62da3b,301,213,514,1,1
pH-7,Simple-Java-Calculator,de7ffeda7f3b446a845549daa63112feeb0aefa2,web-flow,2020-02-03 22:21:21,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/456e48dc7896155f9bd44e3c537929145c62da3b,0,0,0,1,1
pH-7,Simple-Java-Calculator,a23d17b6186f0612166c32ff6ed47173cb16b48d,web-flow,2020-02-03 22:01:00,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/b3d42727f743b426a40b99eae8c6bde7eed2b11a,1,1,2,1,1
pH-7,Simple-Java-Calculator,fb15b22c23e8e20c8a5a05086685aa180e9b3e27,web-flow,2020-02-03 04:57:44,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/edb517900036d6c8e2f5048be3f942fde6e9a3c4,1,1,2,1,1
pH-7,Simple-Java-Calculator,661f9543a0d5bda58afc76fbe85bba922232246d,web-flow,2020-02-03 03:58:21,https://api.github.com/repos/pH-7/Simple-Java-Calculator/git/trees/385a4037a792618bf2cedf1d4ab26b2799df57a5,0,1,1,1,1
